Kategori,Tanggal,Waktu,Tegangan (V),Suhu Air (°C),Suhu Lingkungan (°C),Kelembapan Lingkungan (%),TDS,EC,pH,Cr
Sungai,2025-05-15,08:00:00,3.988,14.43,17.66,75.8,245.243,391.343,7.696,0.012351
Akuakultur,2025-08-19,06:00:00,4.068,27.15,28.85,72.8,197.79,295.439,7.822,0.010574
Air tanah,2025-08-29,08:00:00,3.692,13.83,20.0,83.5,600.849,847.207,7.318,0.014153
Akuakultur,2025-06-05,13:00:00,4.157,27.29,31.04,62.6,60.163,97.362,7.828,0.004977
Danau,2025-06-09,09:00:00,3.613,20.68,23.87,76.1,1095.398,1736.968,8.283,0.017467
Air tanah,2025-02-06,12:00:00,4.03,21.41,26.61,75.4,703.909,1357.411,7.661,0.016456
Sungai,2025-07-11,12:00:00,3.687,11.96,15.15,55.0,204.699,346.704,7.468,0.009568
Akuakultur,2025-09-23,18:00:00,3.901,27.15,28.25,79.6,124.291,181.064,7.843,0.008935
Waduk,2025-10-29,12:00:00,3.578,18.22,20.92,81.2,556.928,755.312,8.278,0.013354
Akuakultur,2025-09-20,12:00:00,3.724,27.44,31.29,72.0,262.195,355.722,7.822,0.011991
Danau,2025-10-02,13:00:00,4.142,12.13,22.0,82.0,2653.264,4494.514,7.087,0.021226
Waduk,2025-12-31,17:00:00,4.01,26.07,30.38,82.0,217.3,325.973,7.644,0.011038
Akuakultur,2025-06-09,07:00:00,4.009,27.15,28.63,67.6,193.956,331.446,7.828,0.010712
Sungai,2025-06-21,17:00:00,3.782,13.58,16.58,65.1,482.127,830.892,8.165,0.015685
Danau,2025-01-28,12:00:00,3.646,22.44,25.64,80.4,25564.949,32404.694,7.753,0.029147
Danau,2025-03-31,07:00:00,4.118,24.62,30.43,65.3,114.75,172.591,7.337,0.009381
Waduk,2025-11-01,06:00:00,4.004,18.69,24.91,74.8,430.795,699.795,8.003,0.013812
Danau,2025-02-22,14:00:00,3.711,23.05,28.98,68.2,4653.116,7860.777,8.153,0.022948
Akuakultur,2025-07-25,09:00:00,3.592,27.44,28.77,65.4,683.359,837.938,7.835,0.015253
Air tanah,2025-09-28,17:00:00,4.222,11.17,20.0,78.7,212.0,252.481,7.807,0.011139
Sungai,2025-10-16,12:00:00,4.001,9.36,13.39,90.6,513.087,795.259,7.553,0.012935
Air tanah,2025-01-07,09:00:00,4.007,20.91,24.71,65.5,371.13,559.557,7.776,0.01255
Waduk,2025-07-20,17:00:00,3.944,22.62,27.36,59.4,263.563,428.76,8.494,0.011231
Danau,2025-05-18,17:00:00,3.976,22.89,23.68,81.3,9662.519,12278.276,7.193,0.023667
Waduk,2025-05-17,07:00:00,3.631,26.71,32.38,61.3,72.534,128.277,8.096,0.006974
Danau,2025-04-15,08:00:00,3.959,22.49,26.61,73.5,37.937,68.068,7.716,0.005396
Sungai,2025-10-11,06:00:00,4.25,9.18,11.02,81.4,75.909,115.511,7.856,0.006432
Waduk,2025-07-09,07:00:00,3.746,21.73,23.25,81.8,88.688,124.115,7.723,0.00673
Danau,2025-11-08,07:00:00,4.16,14.22,22.0,70.3,939.451,1457.802,7.516,0.015813
Akuakultur,2025-11-07,18:00:00,3.703,27.15,29.64,77.9,321.524,531.951,7.789,0.012659
Sungai,2025-08-19,09:00:00,3.888,10.65,14.48,77.4,574.016,830.768,7.905,0.013369
Danau,2025-01-15,18:00:00,3.771,19.53,22.0,76.9,2910.529,5696.986,8.007,0.02074
Air tanah,2025-01-04,13:00:00,3.805,18.91,25.66,77.0,239.112,348.525,7.627,0.012593
Waduk,2025-04-21,17:00:00,3.751,24.03,27.53,67.3,554.721,679.398,8.132,0.013915
Air tanah,2025-02-27,14:00:00,3.627,22.18,26.54,72.2,258.826,450.649,7.11,0.012962
Danau,2025-12-08,08:00:00,3.854,15.81,23.29,82.8,245.25,442.991,7.747,0.0109
Sungai,2025-05-22,08:00:00,3.758,14.02,17.25,63.1,108.826,168.358,7.786,0.008396
Air tanah,2025-03-07,08:00:00,3.591,23.06,27.87,63.5,405.746,690.076,7.296,0.01256
Akuakultur,2025-03-17,17:00:00,3.924,27.44,32.32,62.0,391.872,494.753,7.831,0.013078
Sungai,2025-11-27,14:00:00,3.845,12.29,17.56,77.8,425.883,734.318,7.669,0.013354
Sungai,2025-03-01,06:00:00,4.147,17.01,20.37,78.2,74.11,130.63,7.433,0.008052
Air tanah,2025-01-27,08:00:00,3.707,22.6,24.93,74.9,704.566,1250.445,7.386,0.014714
Sungai,2025-01-02,13:00:00,3.965,11.74,16.85,87.8,72.945,119.447,7.271,0.007035
Sungai,2025-06-10,08:00:00,4.215,14.43,18.67,70.5,64.353,107.922,7.788,0.005869
Danau,2025-08-14,13:00:00,3.943,14.81,22.0,73.1,1509.789,2206.414,7.685,0.018505
Akuakultur,2025-01-25,12:00:00,3.966,27.36,28.63,74.9,55.089,77.219,7.802,0.005322
Sungai,2025-08-15,12:00:00,3.914,9.74,13.4,81.9,624.3,896.511,7.923,0.015754
Air tanah,2025-01-29,18:00:00,3.722,20.5,25.63,75.0,212.0,200.172,7.393,0.009179
Akuakultur,2025-03-14,17:00:00,3.968,27.44,32.38,71.5,108.616,151.806,7.811,0.007069
Air tanah,2025-11-30,07:00:00,3.664,15.98,20.61,79.9,212.0,263.817,7.398,0.010506
Waduk,2025-09-11,17:00:00,4.14,20.21,23.04,69.6,198.209,311.513,7.933,0.01065
Waduk,2025-01-05,08:00:00,3.692,24.39,27.45,62.7,253.82,373.129,7.852,0.011337
Air tanah,2025-06-09,12:00:00,3.99,19.99,22.63,70.8,459.442,822.356,7.508,0.014477
Danau,2025-01-04,13:00:00,4.22,18.63,23.64,70.6,23313.586,32564.904,7.82,0.027245
Air tanah,2025-12-10,08:00:00,4.069,16.51,20.96,67.3,212.0,237.244,7.399,0.010326
Waduk,2025-09-12,17:00:00,4.061,18.73,20.93,69.7,74.915,108.206,8.1,0.00698
Akuakultur,2025-03-07,07:00:00,4.131,27.15,32.02,62.0,82.254,102.251,7.831,0.006455
Air tanah,2025-04-02,06:00:00,3.682,22.29,28.4,60.2,212.0,251.51,7.125,0.010329
Air tanah,2025-09-19,14:00:00,4.172,15.5,20.69,65.2,212.722,320.21,7.77,0.010292
Danau,2025-12-12,07:00:00,3.698,15.99,22.0,91.0,39.303,65.567,7.462,0.00484
Waduk,2025-12-10,06:00:00,3.59,20.83,26.89,89.1,119.016,191.305,8.105,0.008249
Waduk,2025-09-18,14:00:00,4.127,19.72,23.13,69.4,155.042,288.702,8.028,0.00972
Akuakultur,2025-03-30,18:00:00,4.12,27.15,32.09,76.2,44.097,70.839,7.834,0.005637
Waduk,2025-01-25,13:00:00,3.602,25.92,27.34,67.0,99.315,184.651,7.849,0.008417
Air tanah,2025-03-13,09:00:00,3.758,22.31,24.1,77.8,563.598,995.053,7.379,0.015009
Danau,2025-02-16,18:00:00,3.997,21.57,22.82,66.7,85.533,125.088,7.439,0.00644
Akuakultur,2025-03-08,13:00:00,4.182,27.35,30.3,64.7,63.727,104.305,7.806,0.007386
Waduk,2025-07-30,06:00:00,3.851,21.47,27.66,48.0,67.934,93.222,7.736,0.004974
Waduk,2025-08-14,12:00:00,4.053,21.15,27.47,67.8,109.66,164.68,7.787,0.008262
Akuakultur,2025-10-02,07:00:00,3.575,27.44,33.44,77.0,56.228,87.314,7.864,0.006966
Danau,2025-02-23,12:00:00,4.073,24.92,28.7,80.2,39.248,48.773,7.481,0.004635
Danau,2025-07-13,12:00:00,3.996,17.2,23.03,73.0,665.454,1101.06,7.968,0.014529
Akuakultur,2025-11-07,13:00:00,3.745,27.15,30.71,75.9,470.234,696.16,7.83,0.013112
Sungai,2025-01-22,18:00:00,3.76,13.22,17.42,76.1,94.361,148.811,7.656,0.008126
Waduk,2025-08-19,09:00:00,3.627,20.14,24.57,83.2,584.359,777.034,8.166,0.012674
Sungai,2025-02-27,14:00:00,3.64,14.76,18.17,74.6,64.978,133.773,7.72,0.008621
Sungai,2025-05-11,12:00:00,4.165,14.75,18.04,73.2,181.056,342.905,7.686,0.011237
Sungai,2025-01-10,13:00:00,3.7,11.78,15.82,86.3,174.311,368.763,8.067,0.010432
Akuakultur,2025-04-20,07:00:00,3.98,27.44,29.93,58.4,124.483,198.094,7.83,0.009379
Akuakultur,2025-08-22,14:00:00,3.72,27.44,29.73,71.5,50.019,86.369,7.817,0.005882
Air tanah,2025-04-12,18:00:00,3.948,22.59,28.72,55.8,212.0,198.256,7.346,0.010739
Akuakultur,2025-12-13,12:00:00,3.704,27.44,29.93,62.5,94.616,126.938,7.844,0.007435
Air tanah,2025-06-02,06:00:00,4.21,20.03,24.81,74.4,581.92,1152.111,7.195,0.015051
Air tanah,2025-12-06,09:00:00,3.846,17.56,20.0,86.9,327.08,565.71,7.167,0.013555
Air tanah,2025-08-30,09:00:00,3.602,15.88,20.0,74.1,236.649,336.217,7.239,0.012012
Akuakultur,2025-04-13,17:00:00,4.103,27.15,30.15,69.8,349.99,520.583,7.845,0.012386
Sungai,2025-06-29,13:00:00,3.662,14.25,16.3,92.0,105.701,153.614,7.638,0.007227
Waduk,2025-11-15,09:00:00,3.61,21.53,23.71,78.2,94.381,128.473,8.108,0.007051
Waduk,2025-04-13,06:00:00,3.796,28.83,32.43,75.0,228.899,360.959,7.693,0.011323
Akuakultur,2025-03-18,09:00:00,3.635,27.44,29.04,71.1,353.645,533.961,7.837,0.012305
Sungai,2025-03-16,06:00:00,3.675,18.1,22.94,79.9,80.845,105.705,7.593,0.007612
Air tanah,2025-11-28,06:00:00,4.108,14.67,20.0,58.7,722.977,1058.208,7.794,0.015871
Waduk,2025-06-02,06:00:00,3.641,24.4,27.54,77.2,418.399,625.789,8.218,0.014022
Akuakultur,2025-12-31,06:00:00,3.664,27.15,31.84,65.2,48.907,76.889,7.801,0.005578
