Kategori,Tanggal,Waktu,Tegangan (V),Suhu Air (°C),Suhu Lingkungan (°C),Kelembapan Lingkungan (%),TDS,EC,pH,Cr
Air tanah,2025-12-09,13:00:00,3.851,18.04,20.0,72.2,625.74,827.97,7.43,25.85
Waduk,2025-03-17,14:00:00,3.868,24.43,30.08,55.6,67.93,108.8,7.68,17.57
Danau,2025-05-30,12:00:00,3.855,20.85,23.6,67.4,49.86,78.25,7.42,16.34
Danau,2025-12-14,18:00:00,3.635,17.59,24.08,73.8,267.1,398.79,7.43,22.98
Waduk,2025-01-25,07:00:00,4.092,24.51,30.69,65.5,149.26,253.19,7.99,19.08
Danau,2025-10-30,17:00:00,3.684,14.98,22.0,92.0,615.02,891.36,6.74,31.43
Sungai,2025-05-27,09:00:00,3.972,18.28,24.12,70.3,196.38,378.7,8.13,21.19
Sungai,2025-05-15,08:00:00,3.954,19.12,22.43,72.5,245.24,391.34,7.63,24.49
Air tanah,2025-08-19,06:00:00,4.101,13.98,20.0,71.6,394.8,625.96,7.31,25.11
Waduk,2025-08-29,08:00:00,3.667,19.57,23.06,83.5,324.92,458.15,7.84,22.19
Air tanah,2025-06-05,13:00:00,4.176,20.32,24.23,59.9,212.0,277.41,7.39,18.78
Sungai,2025-06-09,09:00:00,3.578,19.03,22.33,76.7,184.7,315.08,8.29,21.35
Waduk,2025-02-06,12:00:00,4.002,24.66,30.06,75.1,397.46,766.45,8.26,25.03
Sungai,2025-07-11,12:00:00,3.665,15.12,18.34,55.0,204.7,346.7,7.34,19.32
Air tanah,2025-09-23,18:00:00,3.93,13.9,20.0,77.9,271.46,437.18,7.62,23.33
Danau,2025-10-29,12:00:00,3.583,11.88,22.0,83.8,27257.05,34985.36,7.97,38.23
Air tanah,2025-09-20,12:00:00,3.774,14.82,20.0,72.5,493.41,717.24,7.31,27.2
Danau,2025-10-02,13:00:00,4.142,12.62,22.0,82.0,2653.26,4494.51,6.85,35.86
Danau,2025-12-31,17:00:00,4.049,22.13,26.56,88.0,1527.13,2140.58,7.18,30.77
Air tanah,2025-06-09,07:00:00,4.034,19.42,20.93,65.6,354.23,681.02,7.39,24.67
Sungai,2025-06-21,17:00:00,3.754,17.39,20.5,62.3,482.13,830.89,8.23,27.65
Danau,2025-01-28,12:00:00,3.639,23.25,26.54,79.8,25564.95,32404.69,7.69,42.78
Sungai,2025-03-31,07:00:00,4.082,23.01,29.1,65.7,85.27,137.29,7.41,20.71
Waduk,2025-11-01,06:00:00,4.001,18.78,25.26,74.6,430.79,699.79,8.0,24.52
Sungai,2025-02-22,14:00:00,3.676,21.41,27.6,68.7,294.04,542.39,8.17,23.6
Air tanah,2025-07-25,09:00:00,3.624,18.04,20.0,64.2,1092.26,1344.18,7.49,29.57
Waduk,2025-09-28,17:00:00,4.226,17.01,18.9,81.6,73.97,122.2,8.44,18.32
Sungai,2025-10-16,12:00:00,3.988,11.12,15.26,89.3,513.09,795.26,7.45,23.0
Air tanah,2025-01-07,09:00:00,4.005,21.03,25.01,65.3,371.13,559.56,7.78,23.0
Waduk,2025-07-20,17:00:00,3.941,22.77,27.75,59.2,263.56,428.76,8.49,19.82
Danau,2025-05-18,17:00:00,3.971,23.65,24.5,80.8,9662.52,12278.28,6.99,36.69
Danau,2025-05-17,07:00:00,3.66,24.16,30.09,66.2,59.67,96.36,7.74,16.09
Danau,2025-04-15,08:00:00,3.953,23.08,27.37,73.0,37.94,68.07,7.64,16.46
Sungai,2025-10-11,06:00:00,4.25,10.89,12.75,80.2,75.91,115.51,7.84,15.93
Waduk,2025-07-09,07:00:00,3.745,21.7,23.31,81.7,88.69,124.11,7.72,16.42
Danau,2025-11-08,07:00:00,4.16,14.81,22.0,70.3,939.45,1457.8,7.39,26.98
Air tanah,2025-11-07,18:00:00,3.742,14.52,20.0,77.3,502.09,963.35,6.84,28.79
Sungai,2025-08-19,09:00:00,3.871,12.85,16.87,75.7,574.02,830.77,7.9,22.82
Danau,2025-01-15,18:00:00,3.771,20.17,22.0,76.9,2910.53,5696.99,8.01,31.18
Waduk,2025-01-04,13:00:00,3.77,23.09,30.12,76.0,119.2,173.74,8.22,21.55
Waduk,2025-04-21,17:00:00,3.753,23.63,27.15,67.5,554.72,679.4,8.13,24.31
Waduk,2025-02-27,14:00:00,3.602,24.95,29.55,72.3,132.1,230.01,7.58,22.14
Sungai,2025-12-08,08:00:00,3.819,14.1,21.87,83.3,97.07,192.72,7.79,17.01
Sungai,2025-05-22,08:00:00,3.726,18.54,21.78,59.9,108.83,168.36,7.75,18.94
Air tanah,2025-03-07,08:00:00,3.591,22.75,27.84,63.5,405.75,690.08,7.3,23.18
Air tanah,2025-03-17,17:00:00,3.923,23.19,28.24,57.5,717.37,913.49,7.44,27.63
Sungai,2025-11-27,14:00:00,3.824,14.92,20.45,75.8,425.88,734.32,7.6,24.13
Sungai,2025-03-01,06:00:00,4.111,22.12,25.59,74.5,74.11,130.63,7.3,20.33
Waduk,2025-01-27,08:00:00,3.677,26.28,28.73,74.4,394.85,700.76,7.92,21.97
Sungai,2025-01-02,13:00:00,3.939,15.18,20.56,85.2,72.95,119.45,7.09,19.11
Sungai,2025-06-10,08:00:00,4.185,18.58,22.99,67.5,64.35,107.92,7.75,15.22
Danau,2025-08-14,13:00:00,3.943,15.41,22.0,73.1,1509.79,2206.41,7.6,30.8
Air tanah,2025-01-25,12:00:00,3.986,20.31,21.6,72.4,212.0,234.06,7.02,22.07
Sungai,2025-08-15,12:00:00,3.898,11.93,15.72,80.3,624.3,896.51,7.92,27.88
Waduk,2025-01-29,18:00:00,3.693,23.92,29.34,74.6,72.51,94.85,7.93,15.55
Air tanah,2025-03-14,17:00:00,3.954,25.01,30.21,65.7,252.63,384.19,7.16,21.07
Air tanah,2025-11-30,07:00:00,3.661,16.16,20.94,79.7,212.0,263.82,7.4,22.22
Danau,2025-09-11,17:00:00,4.16,13.94,22.0,73.6,1259.26,1840.83,7.54,28.92
Danau,2025-01-05,08:00:00,3.732,20.45,23.65,68.6,2439.86,3354.41,7.44,31.46
Waduk,2025-06-09,12:00:00,3.96,23.59,26.32,70.4,247.78,443.5,8.07,22.86
Danau,2025-01-04,13:00:00,4.214,19.26,24.42,70.1,23313.59,32564.9,7.77,38.35
Waduk,2025-12-10,08:00:00,4.029,21.41,26.11,65.8,67.93,114.18,7.94,17.52
Waduk,2025-09-12,17:00:00,4.059,18.87,21.14,69.5,74.92,108.21,8.1,16.88
Air tanah,2025-03-07,07:00:00,4.141,21.46,26.43,58.5,230.3,287.56,7.44,21.14
Waduk,2025-04-02,06:00:00,3.659,24.72,31.11,60.5,67.93,121.69,7.6,17.45
Air tanah,2025-09-19,14:00:00,4.166,16.02,21.43,64.7,212.72,320.21,7.77,20.34
Danau,2025-12-12,07:00:00,3.698,16.54,22.0,91.0,39.3,65.57,7.32,15.91
Danau,2025-12-10,06:00:00,3.636,15.74,22.09,92.0,241.5,363.91,7.75,20.71
Danau,2025-09-18,14:00:00,4.148,13.34,22.0,73.5,833.92,1429.57,7.66,26.4
Air tanah,2025-03-30,18:00:00,4.127,21.78,26.94,72.4,212.0,219.72,7.48,22.22
Danau,2025-01-25,13:00:00,3.637,22.75,24.24,72.4,187.55,323.5,7.43,21.74
Waduk,2025-03-13,09:00:00,3.737,24.86,26.67,78.2,309.3,546.09,7.91,23.59
Danau,2025-02-16,18:00:00,3.992,22.19,23.47,66.3,85.53,125.09,7.3,16.63
Air tanah,2025-03-08,13:00:00,4.187,22.35,25.41,60.8,212.0,291.78,7.09,24.87
Danau,2025-07-30,06:00:00,3.899,16.21,22.63,53.5,23.5,33.34,7.29,10.48
Waduk,2025-08-14,12:00:00,4.05,21.36,27.94,67.5,109.66,164.68,7.79,18.62
Air tanah,2025-10-02,07:00:00,3.622,14.61,22.7,77.1,212.0,256.12,7.91,22.91
Danau,2025-02-23,12:00:00,4.066,25.82,29.72,79.5,39.25,48.77,7.35,16.37
Sungai,2025-07-13,12:00:00,3.961,15.52,21.62,73.5,149.05,267.42,8.0,18.45
Air tanah,2025-11-07,13:00:00,3.791,15.0,20.0,76.0,745.64,1173.39,7.43,25.93
Sungai,2025-01-22,18:00:00,3.731,17.27,21.58,73.2,94.36,148.81,7.58,19.23
Danau,2025-08-19,09:00:00,3.658,14.24,22.0,88.3,30639.15,38443.8,7.83,37.07
Sungai,2025-02-27,14:00:00,3.605,19.64,23.25,71.1,64.98,133.77,7.66,20.96
Sungai,2025-05-11,12:00:00,4.132,19.53,22.86,69.8,181.06,342.9,7.62,22.75
Sungai,2025-01-10,13:00:00,3.674,15.41,19.6,83.6,174.31,368.76,8.1,19.74
Air tanah,2025-04-20,07:00:00,3.975,23.86,26.49,53.5,271.24,466.96,7.42,24.38
Air tanah,2025-08-22,14:00:00,3.759,15.81,20.0,70.9,212.0,254.09,7.23,22.16
Waduk,2025-04-12,18:00:00,3.925,25.08,31.51,56.0,67.93,93.86,7.87,19.15
Air tanah,2025-12-13,12:00:00,3.741,17.92,20.45,61.7,243.75,336.96,7.63,21.86
Waduk,2025-06-02,06:00:00,4.182,23.39,28.35,74.1,323.68,640.83,7.69,23.63
Waduk,2025-12-06,09:00:00,3.809,22.69,24.82,85.6,170.45,294.81,7.65,22.84
Waduk,2025-08-30,09:00:00,3.584,21.83,22.05,74.8,117.59,167.06,7.74,21.3
Air tanah,2025-04-13,17:00:00,4.117,20.86,24.01,66.7,609.58,948.22,7.64,25.49
Sungai,2025-06-29,13:00:00,3.636,17.92,20.03,89.4,105.7,153.61,7.56,16.99
Waduk,2025-11-15,09:00:00,3.607,21.8,24.1,77.9,94.38,128.47,8.11,16.2
Waduk,2025-04-13,06:00:00,3.794,28.85,32.72,74.8,228.9,360.96,7.69,22.37
Air tanah,2025-03-18,09:00:00,3.631,23.74,25.39,66.2,604.09,966.02,7.54,25.37
Sungai,2025-03-16,06:00:00,3.637,23.46,28.49,76.0,80.84,105.71,7.5,19.52
Air tanah,2025-11-28,06:00:00,4.108,14.76,20.02,58.6,722.98,1058.21,7.79,27.68
Danau,2025-06-02,06:00:00,3.675,21.23,24.55,82.6,13465.66,18717.93,7.9,39.16
Air tanah,2025-12-31,06:00:00,3.702,17.44,22.26,64.5,212.0,233.33,7.01,23.09
